Company Name,Industry,Symbol,Series,ISIN Code,Name,Volume
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016,Vodafone Idea,"70,17,50,547"
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,Yes Bank,"55,12,94,320"
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021,Suzlon Energy,"5,89,87,213"
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,Punjab National Bank,"4,08,46,119"
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,IDFC First Bank,"3,33,34,050"
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,NMDC,"2,45,02,958"
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,Canara Bank,"2,38,36,453"
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,Steel Authority of India,"2,14,83,357"
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,Tata Steel,"1,80,85,975"
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,Tata Motors,"1,60,69,904"
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,Eternal,"1,59,72,103"
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,ITC,"1,50,85,738"
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,Bharat Forge,"1,38,13,014"
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,HDFC Bank,"1,37,57,080"
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,State Bank of India,"1,37,13,015"
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,Vedanta,"1,30,91,981"
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,GAIL,"1,20,04,977"
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,Hindustan Zinc,"1,19,28,283"
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,Power Grid Corporation of India,"1,07,73,268"
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,Bank of Baroda,"1,03,28,003"
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,Samvardhana Motherson International,"97,24,654"
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034,NALCO,"96,69,882"
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,Bank of India,"94,59,957"
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,Oil & Natural Gas Corporation,"90,50,771"
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,NTPC,"89,70,962"
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,Tata Consultancy Services,"88,17,365"
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,Bharat Dynamics,"87,34,998"
